Edge_Number,Average_Neighbor_Degree
27,177.25531914893617
0,286.52777777777777
57,180.80409356725147
70,264.5056179775281
74,163.13953488372093
86,183.34540389972145
94,163.55269320843092
100,163.48717948717947
113,190.63103448275862
138,256.9583333333333
154,270.5217391304348
166,225.67605633802816
178,172.0575
230,162.8287037037037
235,302.7631578947368
242,254.56953642384107
246,159.80812641083523
262,303.2432432432432
269,169.8743842364532
275,260.29347826086956
280,186.3846153846154
294,162.0163551401869
304,193.03416149068323
308,169.5502512562814
309,204.8069498069498
324,165.28301886792454
347,238.08227848101265
364,186.0141242937853
367,169.9502487562189
378,234.4
401,240.275
413,257.05333333333334
416,166.4963325183374
419,194.54103343465044
451,194.43636363636364
6,200.41935483870967
1,294.0450450450451
7,190.34513274336283
14,197.54019292604502
15,241.6150234741784
16,226.7540322580645
19,178.8451443569554
23,194.2415902140673
32,234.18695652173912
45,197.76100628930817
46,169.00742574257427
49,284.6692913385827
52,205.7781690140845
63,219.4331983805668
68,179.19895287958116
76,192.51975683890578
78,181.420054200542
95,197.22049689440993
101,200.54849498327758
102,175.11195928753182
110,255.12290502793297
112,279.5546875
115,203.4512987012987
127,199.16666666666666
129,235.05676855895197
134,279.26666666666665
136,169.73815461346632
139,200.13621262458472
153,195.16770186335404
157,219.1451612903226
159,213.27573529411765
167,278.808
170,182.8533724340176
173,289.3739837398374
176,188.29597701149424
184,183.64066852367688
185,291.297520661157
193,188.85588235294117
195,297.74545454545455
201,240.11214953271028
202,255.18125
204,190.58536585365854
217,201.91447368421052
221,269.6503067484663
227,236.30941704035874
241,201.5830618892508
247,205.9290780141844
251,206.14237288135593
252,212.62977099236642
256,262.02285714285716
257,281.4471544715447
264,177.2109375
266,172.41518987341772
268,190.96783625730995
271,223.05333333333334
274,218.6225680933852
290,191.63988095238096
293,187.01754385964912
298,201.6778523489933
302,197.4630225080386
307,174.51968503937007
321,240.46190476190475
323,172.0870646766169
326,177.80789473684212
331,175.76943005181346
336,203.659793814433
342,186.8268656716418
349,281.3688524590164
350,197.80398671096344
354,244.3230769230769
355,214.47169811320754
360,193.22424242424242
361,254.54301075268816
366,193.0121951219512
368,163.23023255813953
369,182.81303116147308
383,170.5886699507389
393,236.73303167420815
394,215.32539682539684
396,207.58510638297872
398,280.5378787878788
402,175.13054830287206
406,218.628
408,171.3477157360406
417,243.38536585365853
420,193.05864197530863
428,180.8281690140845
434,162.9344262295082
435,279.97435897435895
437,288.05785123966945
438,256.54696132596683
441,219.19421487603304
444,210.47426470588235
8,264.2256097560976
2,286.80916030534354
26,255.0700636942675
33,292.98319327731093
38,215.30434782608697
40,213.2074074074074
50,267.2068965517241
53,194.62264150943398
65,259.6860465116279
66,230.78280542986425
67,229.82805429864254
71,234.25
81,281.978102189781
82,203.25324675324674
84,231.29694323144105
90,257.2513966480447
123,238.37019230769232
133,212.81854838709677
140,241.03636363636363
142,250.17297297297299
143,243.0148514851485
150,244.85474860335196
162,219.04048582995952
163,260.5357142857143
168,289.8968253968254
180,228.54782608695652
190,239.49756097560976
200,224.1596638655462
222,259.9080459770115
223,297.3805309734513
229,286.7651515151515
237,232.0353982300885
245,298.5217391304348
259,239.19815668202764
272,248.59459459459458
276,260.7951807228916
279,257.5906432748538
305,189.1795665634675
306,196.86581469648561
313,201.59272727272727
319,237.25345622119815
348,205.08813559322033
372,216.44247787610618
376,245.751269035533
381,229.83410138248848
388,241.5820895522388
390,228.18565400843883
407,238.7536945812808
411,287.09090909090907
423,283.8840579710145
430,296.9099099099099
432,280.8776978417266
440,208.9320754716981
449,246.54358974358973
4,273.3478260869565
3,232.60280373831776
5,282.203007518797
9,227.03587443946188
10,279.70175438596493
11,283.36206896551727
13,250.39444444444445
18,298.1818181818182
21,271.1689189189189
28,268.2435897435897
39,271.3893129770992
41,244.703125
43,257.5056818181818
47,220.4204081632653
51,284.3095238095238
55,238.6497461928934
64,281.9816513761468
72,269.104
85,277.96527777777777
87,276.6198347107438
91,267.0188679245283
96,266.67973856209153
104,280.4141414141414
106,265.8050847457627
107,283.875
109,303.635593220339
125,246.93333333333334
126,267.15625
128,271.9225352112676
130,274.00689655172414
144,250.23076923076923
145,265.23770491803276
147,281.5576923076923
152,252.625
160,304.1585365853659
161,303.3378378378378
171,269.6
175,295.69736842105266
179,275.6422764227642
189,275.7080291970803
192,244.13812154696132
194,298.25
206,270.9130434782609
210,267.4823529411765
215,291.2358490566038
219,224.64853556485355
228,275.0833333333333
231,283.22093023255815
232,314.94202898550725
238,267.93203883495147
240,240.2295918367347
244,256.5379746835443
250,277.8333333333333
260,275.5904761904762
263,269.81456953642385
265,278.650406504065
270,266.4154929577465
284,301.37333333333333
285,277.2368421052632
286,241.55
289,276.9548872180451
291,300.75949367088606
292,307.0779220779221
295,277.3706293706294
296,242.09883720930233
301,277.2772277227723
312,277.311320754717
314,277.8985507246377
317,284.92907801418437
325,260.16339869281046
330,229.67741935483872
337,270.1
339,250.35119047619048
344,246.73821989528795
351,275.8217821782178
356,277.0
363,279.287037037037
373,267.1261261261261
379,283.8965517241379
382,278.4086956521739
395,282.021897810219
409,265.74418604651163
415,252.41145833333334
418,246.60752688172042
421,269.83660130718954
427,282.81889763779526
445,232.2766990291262
448,266.68
452,274.94117647058823
60,251.84023668639054
80,270.14166666666665
118,246.14457831325302
121,231.35227272727272
151,266.88235294117646
156,235.0855614973262
261,230.09467455621302
278,240.11801242236024
316,244.93288590604027
329,236.46835443037975
404,275.6386554621849
69,245.86243386243387
158,249.22784810126583
169,223.83690987124464
213,276.1287128712871
249,270.67826086956524
352,238.75980392156862
12,288.5578947368421
22,330.62068965517244
24,320.975
25,323.64102564102564
29,315.3809523809524
31,325.81081081081084
34,315.2
36,293.15833333333336
44,318.22222222222223
61,247.44230769230768
73,293.9111111111111
77,291.02985074626866
92,258.75471698113205
93,327.03333333333336
98,273.5
99,302.87619047619046
103,299.8348623853211
108,313.49122807017545
119,259.6190476190476
122,264.55555555555554
131,294.9032258064516
132,275.21276595744683
146,323.71794871794873
155,346.575
165,295.375
172,250.88888888888889
182,271.5753424657534
183,310.0487804878049
197,299.26153846153846
203,265.27450980392155
207,238.8372093023256
211,282.45
233,297.4491525423729
248,279.3065693430657
253,341.3181818181818
267,284.1470588235294
277,327.7631578947368
282,294.6060606060606
288,314.7878787878788
299,284.9736842105263
315,291.265625
320,271.7708333333333
333,331.64912280701753
334,260.50943396226415
335,291.8333333333333
353,295.9318181818182
357,316.0967741935484
358,254.32608695652175
362,333.0
365,285.32824427480915
371,285.6744186046512
377,283.5230769230769
380,285.9855072463768
384,290.4375
385,319.35714285714283
389,283.7826086956522
392,275.4888888888889
400,271.35632183908046
403,269.4583333333333
405,285.4805194805195
410,275.4888888888889
412,293.4117647058824
414,285.4805194805195
425,265.1372549019608
429,226.69014084507043
431,289.89130434782606
442,271.875
443,298.65811965811963
450,282.2903225806452
17,267.18897637795277
20,306.4
56,289.6043956043956
75,336.52830188679246
79,140.52380952380952
114,306.56716417910445
116,302.9102564102564
149,325.2133333333333
174,322.25454545454545
181,316.69072164948454
186,317.73846153846154
224,326.6119402985075
234,320.93333333333334
236,289.11578947368423
239,276.51
243,264.9537037037037
273,322.36842105263156
311,319.07462686567163
328,308.22352941176473
345,264.4901960784314
346,278.4166666666667
370,292.05
374,320.40983606557376
422,325.5890410958904
424,273.75206611570246
455,298.4886363636364
196,307.40677966101697
212,283.6142857142857
327,313.98039215686276
359,304.53333333333336
111,264.6507936507937
164,276.1880341880342
281,272.0431034482759
117,267.46666666666664
258,294.537037037037
303,291.64814814814815
436,294.0
30,270.7
35,281.83116883116884
37,279.0689655172414
62,295.86842105263156
89,256.11764705882354
105,279.0344827586207
124,256.6373626373626
199,256.6373626373626
208,195.27272727272728
209,254.6629213483146
216,327.03333333333336
218,262.9032258064516
220,270.7
283,289.27777777777777
297,282.55172413793105
300,331.15384615384613
318,319.69767441860466
322,256.25882352941176
338,302.6393442622951
386,316.1794871794872
391,256.25882352941176
399,283.87368421052633
426,200.57142857142858
433,291.0289855072464
439,292.8857142857143
453,291.84057971014494
54,318.1475409836066
59,315.33846153846156
83,322.96774193548384
97,309.390625
137,314.63492063492066
198,307.10526315789474
214,321.73770491803276
255,313.2686567164179
341,319.95522388059703
48,323.3076923076923
120,354.3611111111111
135,356.7
187,356.8857142857143
188,346.47222222222223
226,318.30434782608694
254,353.9428571428571
332,357.5238095238095
387,357.5238095238095
447,309.3066666666667
375,311.4318181818182
141,275.5952380952381
191,318.49122807017545
287,255.70212765957447
310,309.3050847457627
148,190.73684210526315
42,155.22222222222223
397,174.55555555555554
58,217.44444444444446
88,205.46341463414635
343,234.4
454,165.0
340,266.74074074074076
446,266.55555555555554
177,350.4347826086956
205,348.125
225,350.4347826086956
